asset,rows_total,rows_train,rows_test,ema1_period,ema2_period,ema3_period,train_sharpe,train_total_return,train_annualized_return,train_max_drawdown,train_trades,view_q
ibkrususd,495,297,198,4,80,100,3.350759724402297,1.8793159292674555,1.4530140121979573,-0.14557648127700049,3,1.4530140121979573
krususd,774,464,310,13,197,124,3.021457541771033,2.4018938592007526,0.9443720873557373,-0.12515379456029815,4,0.9443720873557373
amatususd,521,312,209,4,137,100,2.8719348335176034,2.8094924240354935,1.9455194846911463,-0.34543161018459523,3,1.9455194846911463
manhususd,468,280,188,10,158,115,2.797192021158428,0.8342494839125747,0.7262852707274048,-0.12077720824889734,4,0.7262852707274048
ficoususd,739,443,296,4,92,115,2.727033197622254,3.260488899533841,1.2806950494819027,-0.2090982140168013,4,1.2806950494819027
dhrususd,425,255,170,4,83,157,2.491400900632397,1.7825122354571024,1.74921314117511,-0.18903489523408082,3,1.7492131411751104
nhynonok,545,327,218,4,83,100,2.2942831892392657,1.8328724484039656,1.2310290586044257,-0.16011730205278588,3,1.2310290586044257
ehcususd,570,342,228,4,98,100,2.2825724502221436,0.9214846586705172,0.6180637422162993,-0.14801390226960587,3,0.6180637422162993
etnususd,506,303,203,7,92,100,2.281475593362582,0.8754637268694057,0.6870963392475467,-0.1751629484394044,5,0.6870963392475467
acfreur,430,258,172,4,104,130,2.2690243201899105,0.5528254168410542,0.5370143374750529,-0.06690533697877717,5,0.5370143374750527
elususd,622,373,249,4,95,166,2.125401401770089,1.2581496804633092,0.7337899430358756,-0.15197822901402552,7,0.7337899430358756
tjxususd,403,241,162,4,152,151,2.100622676945267,0.45136107275634885,0.47624830932218787,-0.14194907695297324,2,0.47624830932218787
arususd,533,319,214,37,104,103,2.050370721893293,1.3723190234711997,0.9786773450615058,-0.40384096895285904,3,0.978677345061506
wosgbgbx,832,499,333,4,101,172,2.050328758455042,1.7432367150450823,0.6646669230221169,-0.19521462573103043,4,0.6646669230221169
pltrususd,416,249,167,22,152,118,2.046195256179511,3.3364339547695065,3.4137632505281488,-0.7108530416436208,2,3.4137632505281488
mroususd,582,349,233,28,197,196,2.0435608151417863,1.8293646586147791,1.1190825572783019,-0.20568633011911505,3,1.1190825572783019
wklnleur,981,588,393,4,80,103,2.019502999898866,2.1040065874941782,0.6248900755471412,-0.13768700827524394,5,0.6248900755471412
tdyususd,634,380,254,25,185,142,1.991148673584276,0.37842960079364185,0.2371831366035695,-0.06756674260904778,4,0.2371831366035695
acglususd,519,311,208,37,173,178,1.9892976598633978,0.7401416379007384,0.5665459842747667,-0.14361999155151178,3,0.5665459842747667
rostususd,402,241,161,37,197,112,1.9704311693304226,0.8646423207605991,0.9184318259702833,-0.12685545846931232,2,0.9184318259702833
bagbgbx,426,255,171,4,89,130,1.9697414710910897,1.049575040035323,1.0323438626159738,-0.07407774506626091,3,1.0323438626159738
tprususd,693,415,278,4,182,190,1.95892589918192,1.4974738750726075,0.7433077997828061,-0.29771514996086157,4,0.7433077997828061
cslususd,597,358,239,4,122,121,1.9462560348878108,0.7873870137286789,0.5050098713795972,-0.10691964607901158,3,0.5050098713795974
crdagbgbx,425,255,170,10,191,181,1.939910303695123,0.5078131442976905,0.5005460182360295,-0.13195076481835602,3,0.5005460182360295
adiususd,462,277,185,4,101,100,1.905528172899763,0.5697760602083024,0.5071720052890802,-0.12600368930881437,4,0.5071720052890802
maususd,768,460,308,4,113,124,1.8410942477160839,2.0661130122928153,0.8474201946124273,-0.20755490003277619,4,0.8474201946124271
lenususd,506,303,203,4,80,184,1.8409271173166413,0.8549781560464806,0.6717558945985582,-0.20667101062224827,3,0.671755894598558
ahnleur,447,268,179,4,83,154,1.7776565491548335,0.47435643080893475,0.44057763551758233,-0.12332289044906564,3,0.44057763551758233
metususd,608,364,244,4,191,160,1.7675775566048437,1.1817528164748548,0.7161596440030273,-0.20929206814981394,3,0.7161596440030276
googususd,866,519,347,7,80,124,1.7462166640702452,1.1875881941951008,0.4624128288429552,-0.26433643533990075,5,0.4624128288429552
cboeususd,456,273,183,4,83,130,1.7293987396724628,0.6957916144641818,0.628277591820654,-0.17564883296374784,3,0.628277591820654
ivzususd,502,301,201,13,194,184,1.7225994306166361,0.7547023015988639,0.6012140655731817,-0.14015359297860647,5,0.6012140655731817
asmlnleur,790,474,316,4,98,148,1.7090315354191032,2.987129569428443,1.0861158051504498,-0.23243504382702387,7,1.0861158051504494
usdpln,446,267,179,4,92,184,1.7040342675733684,0.33344058567725754,0.3120569222135874,-0.09335916895888857,3,0.3120569222135874
umibeeur,748,448,300,4,188,184,1.697371428934083,1.1097105504883729,0.5218623292363882,-0.2572109565654287,4,0.5218623292363882
ote1vfieur,482,289,193,4,197,109,1.6904228358413524,1.7990928774860544,1.4535037121186192,-0.23792751450472638,4,1.4535037121186192
lplaususd,457,274,183,7,158,127,1.6823064462518607,0.5875004132338384,0.5296713641938264,-0.16224709316184557,3,0.5296713641938264
dvnususd,839,503,336,7,158,142,1.6750659065447404,2.0940689698116595,0.7609726038304125,-0.2659794752770382,4,0.7609726038304125
amdususd,610,366,244,4,179,178,1.646609818714439,6.365985391524433,2.954665614789006,-0.379704737183647,3,2.954665614789006
abtususd,797,478,319,16,134,124,1.6045056524863237,0.875774497757013,0.3932206799479012,-0.1621373695677094,4,0.3932206799479012
whrususd,608,364,244,10,107,163,1.5728323325118863,0.6809771250063179,0.43270960246944656,-0.17019369301798212,3,0.43270960246944656
alleususd,591,354,237,13,101,100,1.5660965973941599,0.7205425484562891,0.47150527169771594,-0.10870869208124588,4,0.4715052716977157
allyususd,435,261,174,13,185,172,1.5580082004621,0.36288997959814684,0.34841700006051446,-0.09150049497949382,5,0.3484170000605147
sgegbgbx,658,394,264,7,104,100,1.5570355539597969,1.0611157419269697,0.5881735874868348,-0.19123631603877833,5,0.5881735874868348
acmususd,595,357,238,37,131,124,1.55416359607295,0.6412244493394272,0.41867618571733756,-0.13579557000609604,3,0.4186761857173378
0388hkhkd,658,394,264,31,161,130,1.553853379872776,0.5904209006505643,0.3455067948539783,-0.21045411755307022,4,0.3455067948539785
lowususd,483,289,194,37,119,115,1.5202203133097734,1.7680745118665167,1.4297790368027732,-0.20512223515715985,3,1.4297790368027732
gwwususd,1270,762,508,31,179,136,1.4888577053715137,1.0406453631291996,0.2660265324877724,-0.10834998537869212,7,0.2660265324877724
ebayususd,639,383,256,37,182,109,1.4059011788141638,0.6285396105451073,0.378337451366457,-0.2753286820330842,6,0.3783374513664568
cahususd,712,427,285,4,164,145,1.377653774132396,0.7118113871283016,0.37333743678291587,-0.2167708732548591,5,0.37333743678291587
knxususd,664,398,266,37,185,142,1.3591225275796905,0.32490682930508585,0.1949881021868931,-0.09885578806308624,4,0.1949881021868931
vow3deeur,603,361,242,7,197,196,1.3573464068273473,1.27608611579861,0.7755768459426309,-0.2232591262017253,3,0.7755768459426309
catususd,604,362,242,37,104,100,1.3446654791665138,0.945701138291466,0.5894077235300557,-0.2603607494020726,5,0.5894077235300557
zbhususd,561,336,225,4,134,115,1.3360032519119829,0.5137968383085321,0.36474243426157593,-0.1642419317313125,3,0.36474243426157593
rdsanleur,623,373,250,7,122,103,1.3335345946710075,0.3347130194898966,0.21538106640919286,-0.11504353550899735,4,0.21538106640919286
amznususd,481,288,193,7,89,112,1.3225803587134715,0.5005085984538291,0.42629275896821794,-0.20252149657329446,4,0.42629275896821794
agsbeeur,696,417,279,7,152,139,1.3115537687641041,1.010139757182393,0.5249115092458292,-0.11581285938316795,4,0.5249115092458292
irususd,622,373,249,19,134,151,1.310555409082117,1.146081081725415,0.6751788831999108,-0.18706436046627106,3,0.6751788831999108
iceususd,791,474,317,10,197,139,1.303906875300713,0.8920412932750104,0.403553372850983,-0.17619510789293505,4,0.4035533728509828
chfaed,400,240,160,4,92,100,1.3026252850033022,0.1012088219487739,0.10652993148718637,-0.026839079687857276,3,0.10652993148718637
kmiususd,1044,626,418,10,140,106,1.2928186994827018,1.1199390545102648,0.3532044074609768,-0.2043643921025287,5,0.3532044074609768
alkususd,545,327,218,16,146,106,1.2901041142455134,0.4206477112572584,0.3107276226126485,-0.18650117327405208,4,0.3107276226126485
fbususd,697,418,279,4,194,157,1.279276990293988,1.3463924861404815,0.672259788338978,-0.27315290301784995,4,0.6722597883389783
psaususd,547,328,219,13,164,133,1.2762626921994669,0.6185789708155418,0.4476915523444023,-0.256269266016829,3,0.4476915523444023
usdhuf,625,375,250,34,125,124,1.2519655775672751,0.27259357358307446,0.17584884179298532,-0.06709287601849788,3,0.17584884179298532
kpnnleur,467,280,187,19,110,109,1.2205580775169105,0.5771666549046623,0.5069187193017666,-0.19277515192437555,4,0.5069187193017666
isrgususd,691,414,277,7,89,160,1.213991215319358,0.8687975744354912,0.4631834089311033,-0.20793287844694894,4,0.4631834089311033
jpmususd,945,567,378,10,89,100,1.1921317726900194,0.6554983079208017,0.2511277670220984,-0.1899108752321513,9,0.2511277670220984
amgnususd,733,439,294,7,101,100,1.1871739088255546,0.5608307772482215,0.2911966987033705,-0.14760281491405955,5,0.2911966987033705
itwususd,928,556,372,4,104,100,1.1832831104863395,0.7645401446801314,0.2935482773813858,-0.24898504709255995,7,0.293548277381386
hkdjpy,524,314,210,19,146,142,1.1806933070588717,0.26965189292162295,0.21118893983755682,-0.07550253023202232,5,0.21118893983755682
aosususd,520,312,208,7,188,178,1.176221497584294,0.4291541350853221,0.3343082525710319,-0.19649199503557835,4,0.3343082525710319
mgmususd,1127,676,451,31,110,100,1.1726214370345693,3.0857157374371367,0.6899318496489646,-0.2933446375582874,6,0.6899318496489646
eqtususd,433,259,174,10,83,148,1.1696739348262548,0.474742462610082,0.459339333941418,-0.29835164835164857,3,0.459339333941418
teamususd,810,486,324,13,197,175,1.1617061266322628,1.2919210308568876,0.5373409257954269,-0.27150918760192116,4,0.5373409257954269
aususd,1257,754,503,28,119,118,1.1560761955045684,1.2101922332168606,0.3035105545112633,-0.22381160901084993,6,0.3035105545112633
usdtry,454,272,182,10,179,139,1.150532672989186,0.1886867456890542,0.17367473784167187,-0.032280094700419024,3,0.17367473784167187
kerfreur,518,310,208,37,176,106,1.1485366662548993,0.6906392877670016,0.5324395736263976,-0.21721754282155628,3,0.5324395736263976
twgbgbx,583,349,234,19,185,100,1.138432127066803,0.35779674317224286,0.24713960778504007,-0.09560389795541833,5,0.24713960778504007
ppgususd,701,420,281,7,173,103,1.124852282312006,0.5068226307142583,0.27890204113947115,-0.1305773525066318,4,0.27890204113947115
cvxususd,439,263,176,7,161,160,1.123959563699661,0.9071150122331768,0.8563082505428758,-0.14027940105118344,5,0.8563082505428758
ampususd,751,450,301,4,164,157,1.1171415536074718,1.5737198947465907,0.6979086333709228,-0.29081689424406687,4,0.697908633370923
rgaususd,502,301,201,13,92,118,1.114955063393023,0.3765784415372635,0.30678896382289533,-0.18079256755387096,3,0.30678896382289533
ewbcususd,423,253,170,7,101,100,1.1011855256151752,1.0279185580557653,1.022259439116489,-0.3110095554632321,5,1.022259439116489
hcnususd,879,527,352,16,185,112,1.0964587381795579,1.1437491029232603,0.4399924719449315,-0.3543263356658891,5,0.4399924719449315
brbygbgbx,441,264,177,4,188,187,1.0927581802309216,0.48598758601996406,0.4594738214163603,-0.27248429898275117,4,0.4594738214163603
tfcususd,413,247,166,4,101,100,1.0663137499507018,0.3084802223362575,0.3156212221171044,-0.19567219152854506,3,0.3156212221171044
ipgususd,652,391,261,4,104,103,1.0634845559013828,1.4462305544352136,0.7798649972610945,-0.16006216006216015,6,0.7798649972610945
brkbususd,629,377,252,25,113,100,1.0629229690178488,0.6651212922865588,0.40611932143153306,-0.22753316830306206,3,0.40611932143153306
trvususd,609,365,244,7,146,151,1.0624768853309698,0.41568788688556135,0.27124608237117886,-0.10492949035131137,3,0.27124608237117886
hesususd,1211,726,485,7,197,109,1.0518118057855355,3.2548459493636592,0.6530662484337355,-0.37687243877272164,9,0.6530662484337355
tlsnsesek,591,354,237,28,185,100,1.044529402712319,0.24291912659218373,0.16742911046126285,-0.08247477429633548,4,0.16742911046126285
